DEBUG 2026-01-27 00:21:44,345 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/account/fields.py first seen with mtime 1769459714.2650113
DEBUG 2026-01-27 00:21:44,346 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/argparse.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/utils/inspect.py first seen with mtime 1769459623.072352
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/sites/requests.py first seen with mtime 1769459622.6394138
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/backends/base/operations.py first seen with mtime 1769459622.8427677
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/charset_normalizer/constant.py first seen with mtime 1769460188.9720023
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/ciphers/__init__.py first seen with mtime 1769460278.4599447
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/auth/base_user.py first seen with mtime 1769459620.7069237
DEBUG 2026-01-27 00:21:44,346 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/staticfiles/storage.py first seen with mtime 1769459622.7719922
DEBUG 2026-01-27 00:21:44,347 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/idna/core.py first seen with mtime 1769460188.8207815
DEBUG 2026-01-27 00:21:44,347 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/header.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,347 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/whitenoise/responders.py first seen with mtime 1769459618.4666815
DEBUG 2026-01-27 00:21:44,347 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/template/base.py first seen with mtime 1769459623.0047483
DEBUG 2026-01-27 00:21:44,347 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/response.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,347 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/asgiref/current_thread_executor.py first seen with mtime 1769459619.6071165
DEBUG 2026-01-27 00:21:44,347 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/configparser.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,348 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/__init__.py first seen with mtime 1769460278.4577317
DEBUG 2026-01-27 00:21:44,348 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/dispatch/dispatcher.py first seen with mtime 1769459622.9108396
DEBUG 2026-01-27 00:21:44,348 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/messages/__init__.py first seen with mtime 1769459622.1650586
DEBUG 2026-01-27 00:21:44,348 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/management/commands/runserver.py first seen with mtime 1769459622.825033
DEBUG 2026-01-27 00:21:44,348 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/http/cookie.py first seen with mtime 1769459622.9863217
DEBUG 2026-01-27 00:21:44,348 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/requests/hooks.py first seen with mtime 1769460189.0447135
DEBUG 2026-01-27 00:21:44,348 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,349 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/queue.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,349 autoreload File /Users/branko/Desktop/barter_app/core/views.py first seen with mtime 1769455451.4222739
DEBUG 2026-01-27 00:21:44,349 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/admin/apps.py first seen with mtime 1769459620.068801
